,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
522,CATY,Cathay General Bancorp,42.67,$3.45B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caty,
524,CVCO,"Cavco Industries, Inc.",150.4,$1.36B,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/cvco,
525,CAVM,"Cavium, Inc.",85,$5.88B,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/cavm,
526,CBFV,"CB Financial Services, Inc.",30.3146,$123.93M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbfv,
527,CBAK,"CBAK Energy Technology, Inc.",1.475,$38.68M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cbak,
528,CBOE,"Cboe Global Markets, Inc.",124.76,$14.15B,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cboe,
529,CBTX,"CBTX, Inc.",29.35,$735.09M,2017,Finance,Major Banks,http://www.nasdaq.com/symbol/cbtx,
530,CDK,"CDK Global, Inc.",71.25,$9.8B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cdk,
531,CDW,CDW Corporation,69.6,$10.65B,2013,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/cdw,
532,CECE,CECO Environmental Corp.,5.05,$175.27M,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cece,
533,CELC,Celcuity Inc.,19,$191.56M,2017,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/celc,
534,CELG,Celgene Corporation,104.46,$82.24B,1987,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celg,
536,CLDX,"Celldex Therapeutics, Inc.",2.88,$391.64M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/cldx,
537,APOP,Cellect Biotechnology Ltd.,6.84,$41.05M,2016,n/a,n/a,http://www.nasdaq.com/symbol/apop,
539,CLRB,"Cellectar Biosciences, Inc.",1.37,$21.67M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrb,
542,CLLS,Cellectis S.A.,28.63,$1.01B,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/clls,
543,CBMG,"Cellular Biomedicine Group, Inc.",10.3,$144.31M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbmg,
544,CLSN,Celsion Corporation,2.87,$46.1M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clsn,
545,CELH,"Celsius Holdings, Inc.",5.2,$237.53M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/celh,
546,CYAD,Celyad SA,39.496,$389.51M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cyad,
547,CETX,Cemtrex Inc.,2.58,$27.23M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cetx,
550,CDEV,"Centennial Resource Development, Inc.",20.22,$5.58B,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cdev,
551,CSFL,CenterState Bank Corporation,26.2,$1.57B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/csfl,
552,CETV,Central European Media Enterprises Ltd.,4.6,$666.83M,1994,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cetv,
553,CFBK,Central Federal Corporation,2.62,$60.62M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cfbk,
554,CENT,Central Garden & Pet Company,39.13,$2.03B,1993,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cent,
555,CENTA,Central Garden & Pet Company,37.93,$1.97B,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/centa,
556,CVCY,Central Valley Community Bancorp,19.37,$263.07M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cvcy,
557,CENX,Century Aluminum Company,18.27,$1.6B,1996,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/cenx,
558,CNBKA,"Century Bancorp, Inc.",79.1498,$440.7M,1987,Finance,Major Banks,http://www.nasdaq.com/symbol/cnbka,
559,CNTY,"Century Casinos, Inc.",9.54,$280.09M,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/cnty,
560,CVO,Cenveo Inc,0.867,$7.44M,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/cvo,
561,CRNT,Ceragon Networks Ltd.,1.9,$148.09M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/crnt,
562,CERC,Cerecor Inc.,4.04,$105.26M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cerc,
564,CERN,Cerner Corporation,67.61,$22.47B,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern,
565,CERS,Cerus Corporation,3.41,$389.03M,1997,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cers,
566,KOOL,Cesca Therapeutics Inc.,2.8,$30.42M,n/a,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/kool,
567,CEVA,"CEVA, Inc.",45.9,$1.01B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ceva,
568,CSBR,"Champions Oncology, Inc.",3.93,$43.18M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/csbr,
569,CYOU,Changyou.com Limited,35.76,$1.87B,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyou,
570,BURG,"Chanticleer Holdings, Inc.",2.56,$7.75M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/burg,
571,CTHR,Charles & Colvard Ltd.,1.37,$29.58M,1997,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cthr,
572,GTLS,"Chart Industries, Inc.",46.8,$1.44B,2006,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gtls,
573,CHTR,"Charter Communications, Inc.",333.25,$83.27B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/chtr,
574,CHFN,Charter Financial Corp.,17.9,$270.62M,2010,Finance,Savings Institutions,http://www.nasdaq.com/symbol/chfn,
575,CHKP,Check Point Software Technologies Ltd.,103.31,$17.15B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp,
576,CHEK,Check-Cap Ltd.,0.8651,$14.69M,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chek,
578,CKPT,"Checkpoint Therapeutics, Inc.",3.46,$88.26M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ckpt,
579,CEMI,"Chembio Diagnostics, Inc.",8.35,$102.86M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cemi,
580,CHFC,Chemical Financial Corporation,53.79,$3.83B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chfc,
581,CCXI,"ChemoCentryx, Inc.",5.55,$270.65M,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ccxi,
582,CHMG,Chemung Financial Corp,47.06,$223.08M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chmg,
583,CHKE,Cherokee Inc.,1.825,$25.46M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/chke,
584,CHFS,"CHF Solutions, Inc.",3.6,$6.48M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/chfs,
585,CHMA,"Chiasma, Inc.",1.65,$40.23M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/chma,
586,CSSE,"Chicken Soup for the Soul Entertainment, Inc.",9.37,$108.73M,2017,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/csse,
587,PLCE,"Children&#39;s Place, Inc. (The)",144.4,$2.51B,1997,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/plce,
588,CMRX,"Chimerix, Inc.",4.59,$216.32M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cmrx,
589,CADC,"China Advanced Construction Materials Group, Inc.",4.1,$9.79M,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cadc,
590,CALI,China Auto Logistics Inc.,3.25,$15.73M,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/cali,
591,CAAS,"China Automotive Systems, Inc.",4.84,$153.16M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/caas,
592,CBPO,"China Biologic Products Holdings, Inc.",79.1,$2.18B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbpo,
593,CCCL,"China Ceramics Co., Ltd.",2.04,$6.51M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cccl,
594,CCCR,"China Commercial Credit, Inc.",1.76,$34.23M,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/cccr,
595,CCRC,"China Customer Relations Centers, Inc.",17.62,$322.97M,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ccrc,
596,JRJC,China Finance Online Co. Limited,2.93,$69.21M,2004,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jrjc,
597,HGSH,"China HGS Real Estate, Inc.",1.251,$56.36M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/hgsh,
598,CNIT,"China Information Technology, Inc.",1.47,$59.14M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnit,
599,CIFS,China Internet Nationwide Financial Services Inc.,42.4,$933.78M,2017,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/cifs,
600,CJJD,"China Jo-Jo Drugstores, Inc.",1.32,$33.28M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cjjd,
601,CLDC,China Lending Corporation,3.4,$80.78M,2014,Finance,Diversified Financial Services,http://www.nasdaq.com/symbol/cldc,
602,HTHT,"China Lodging Group, Limited",140.59,$9.99B,2010,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/htht,
603,CHNR,"China Natural Resources, Inc.",2.7052,$67.39M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/chnr,
604,CREG,China Recycling Energy Corporation,2.85,$23.68M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/creg,
605,CNTF,China TechFaith Wireless Communication Technology Limited,2.74,$29.01M,2005,n/a,n/a,http://www.nasdaq.com/symbol/cntf,
606,CXDC,China XD Plastics Company Limited,4.575,$227.5M,n/a,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/cxdc,
607,CCIH,ChinaCache International Holdings Ltd.,1.69,$43.24M,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/ccih,
608,CNET,"ChinaNet Online Holdings, Inc.",1.08,$13.33M,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/cnet,
609,IMOS,ChipMOS TECHNOLOGIES INC.,17.27,$739.34M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/imos,
610,CDXC,ChromaDex Corporation,5.9,$317.4M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cdxc,
612,CHSCM,CHS Inc,26.63,$505.97M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscm,
613,CHSCN,CHS Inc,28.03,$470.9M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscn,
614,CHSCO,CHS Inc,29.17,$330.18M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chsco,
615,CHSCP,CHS Inc,30.14,$217.98M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscp,
616,CHDN,"Churchill Downs, Incorporated",229,$3.53B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/chdn,
617,CHUY,"Chuy&#39;s Holdings, Inc.",28.2,$476.97M,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/chuy,
618,CDTX,"Cidara Therapeutics, Inc.",7.35,$148.75M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cdtx,
619,CMCT,CIM Commercial Trust Corporation,20.15,$1.17B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cmct,
620,CMPR,Cimpress N.V,117.37,$3.64B,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/cmpr,
621,CINF,Cincinnati Financial Corporation,74.55,$12.23B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cinf,
622,CIDM,Cinedigm Corp,1.4799,$51.7M,n/a,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/cidm,
623,CTAS,Cintas Corporation,156.02,$16.61B,1983,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ctas,
624,CRUS,"Cirrus Logic, Inc.",51.96,$3.31B,1989,Technology,Semiconductors,http://www.nasdaq.com/symbol/crus,
625,CSCO,"Cisco Systems, Inc.",38.56,$190.63B,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco,
626,CTRN,"Citi Trends, Inc.",27.06,$371.8M,2005,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/ctrn,
627,CTXR,"Citius Pharmaceuticals, Inc.",4.11,$34.62M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctxr,
629,CZNC,Citizens & Northern Corp,24.12,$294.23M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cznc,
630,CZWI,"Citizens Community Bancorp, Inc.",13.58,$79.9M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/czwi,
631,CZFC,Citizens First Corporation,23.97,$60.56M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/czfc,
632,CIZN,Citizens Holding Company,23.15,$113.31M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cizn,
633,CTXS,"Citrix Systems, Inc.",88.44,$13.33B,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs,
634,CHCO,City Holding Company,68.23,$1.07B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chco,
635,CIVB,"Civista Bancshares, Inc. ",21.44,$218.06M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/civb,
637,CLAR,Clarus Corporation,7.95,$238.83M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/clar,
638,CDTI,"Clean Diesel Technologies, Inc.",1.65,$26.07M,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cdti,
639,CLNE,Clean Energy Fuels Corp.,2.09,$315.77M,2007,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/clne,
640,CLNT,"Cleantech Solutions International, Inc.",6.95,$17.8M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clnt,
641,CACG,ClearBridge All Cap Growth ETF,27.92,$41.87M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cacg,
643,LRGE,ClearBridge Large Cap Growth ESG ETF,29.34,$2.93M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lrge,
644,CLFD,"Clearfield, Inc.",12.4,$171.26M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clfd,
645,CLRO,"ClearOne, Inc.",8.8,$74.04M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clro,
646,CLSD,"Clearside Biomedical, Inc.",6.86,$173.85M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clsd,
647,CLIR,ClearSign Combustion Corporation,3.9,$60.86M,2012,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clir,
649,CMTA,Clementia Pharmaceuticals Inc.,19.5,$618.49M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cmta,
650,CBLI,"Cleveland BioLabs, Inc.",4,$45.12M,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/cbli,
651,CSBK,Clifton Bancorp Inc.,17.29,$381.5M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/csbk,
652,CLVS,"Clovis Oncology, Inc.",67.17,$3.38B,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clvs,
653,CMFN,CM Finance Inc,8,$109.52M,2014,n/a,n/a,http://www.nasdaq.com/symbol/cmfn,
654,CMSS,CM Seven Star Acquisition Corporation,9.59,$252.44M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cmss,
658,CME,CME Group Inc.,145.95,$49.67B,2002,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cme,
659,CCNE,CNB Financial Corporation,26.31,$402.11M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ccne,
660,CWAY,"Coastway Bancorp, Inc.",21.35,$93.78M,2014,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cway,
661,COBZ,CoBiz Financial Inc.,20.31,$857.76M,1998,Finance,Major Banks,http://www.nasdaq.com/symbol/cobz,
662,COKE,Coca-Cola Bottling Co. Consolidated,219.52,$2.05B,1972,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/coke,
663,CODA,"Coda Octopus Group, Inc.",4.6994,$42.87M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/coda,
664,CDXS,"Codexis, Inc.",8.3,$401.28M,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cdxs,
665,CODX,"Co-Diagnostics, Inc.",3.11,$38.2M,2017,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/codx,
666,CVLY,"Codorus Valley Bancorp, Inc",27.97,$248.49M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cvly,
667,JVA,"Coffee Holding Co., Inc.",4.25,$24.9M,2005,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/jva,
668,CCOI,"Cogent Communications Holdings, Inc.",44.95,$2.07B,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/ccoi,
669,CGNT,"Cogentix Medical, Inc.",3.14,$191.24M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cgnt,
670,COGT,"Cogint, Inc.",4.3,$256.61M,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/cogt,
671,CGNX,Cognex Corporation,61.43,$10.64B,1989,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cgnx,
672,CTSH,Cognizant Technology Solutions Corporation,71.2,$41.98B,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/ctsh,
673,CWBR,"CohBar, Inc.",4.91,$193.57M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cwbr,
674,COHR,"Coherent, Inc.",285.77,$7.09B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/cohr,
675,CHRS,"Coherus BioSciences, Inc.",9.3,$546.11M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/chrs,
676,COHU,"Cohu, Inc.",22.2,$627.99M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/cohu,
677,CLCT,"Collectors Universe, Inc.",29.6,$264.06M,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/clct,
678,COLL,"Collegium Pharmaceutical, Inc.",19.01,$619.01M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/coll,
679,CIGI,Colliers International Group Inc. ,59.9,$2.25B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cigi,
680,CBAN,"Colony Bankcorp, Inc.",14.4,$121.53M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cban,
681,COLB,"Columbia Banking System, Inc.",43.96,$3.21B,1992,Finance,Major Banks,http://www.nasdaq.com/symbol/colb,
682,COLM,Columbia Sportswear Company,71.53,$5B,1998,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/colm,
683,CMCO,Columbus McKinnon Corporation,40.26,$925.92M,1996,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/cmco,
684,CMCSA,Comcast Corporation,40.41,$188.87B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsa,
685,CBSH,"Commerce Bancshares, Inc.",56.35,$6.31B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbsh,
686,CBSHP,"Commerce Bancshares, Inc.",26.43,$2.42B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbshp,
687,CUBN,"Commerce Union Bancshares, Inc.",25.52,$230.25M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cubn,
688,CHUBA,"CommerceHub, Inc.",22.2,$961.63M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chuba,
689,CHUBK,"CommerceHub, Inc.",20.79,$900.56M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chubk,
690,CVGI,"Commercial Vehicle Group, Inc.",11.08,$339.69M,2004,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/cvgi,
691,COMM,"CommScope Holding Company, Inc.",38.16,$7.28B,2013,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/comm,
692,JCS,"Communications Systems, Inc.",3.66,$32.83M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcs,
693,ESXB,Community Bankers Trust Corporation.,8.05,$177.49M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esxb,
694,CFBI,"Community First Bancshares, Inc.",11.87,$89.48M,2017,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cfbi,
696,CTBI,"Community Trust Bancorp, Inc.",47.8,$845.71M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ctbi,
697,CWBC,Community West Bancshares,10.5,$85.87M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cwbc,
698,CVLT,"Commvault Systems, Inc.",52.55,$2.43B,2006,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvlt,
699,CGEN,Compugen Ltd.,2.6,$132.94M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cgen,
700,CPSI,"Computer Programs and Systems, Inc.",29.55,$406.5M,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/cpsi,
701,CTG,"Computer Task Group, Incorporated",5.115,$79.24M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ctg,
702,CHCI,"Comstock Holding Companies, Inc.",1.3,$4.64M,2004,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/chci,
703,CMTL,Comtech Telecommunications Corp.,22.25,$525.27M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cmtl,
704,CNAT,Conatus Pharmaceuticals Inc.,4.73,$141.93M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnat,
705,CNCE,"Concert Pharmaceuticals, Inc.",25.46,$579.79M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnce,
706,CXRX,Concordia International Corp.,0.575,$29.49M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cxrx,
707,CCUR,Concurrent Computer Corporation,5.8,$57.38M,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ccur,
708,CDOR,"Condor Hospitality Trust, Inc.",9.95,$116.21M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cdor,
709,CFMS,"ConforMIS, Inc.",2.5,$113.23M,2015,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/cfms,
710,CNFR,"Conifer Holdings, Inc.",5.7,$48.56M,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cnfr,
711,CNMD,CONMED Corporation,50.72,$1.42B,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cnmd,
712,CTWS,"Connecticut Water Service, Inc.",57.41,$692.84M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/ctws,
713,CNOB,"ConnectOne Bancorp, Inc.",26.05,$834M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cnob,
714,CONN,"Conn&#39;s, Inc.",35.75,$1.12B,2003,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/conn,
715,CNSL,"Consolidated Communications Holdings, Inc.",12.36,$875.53M,2005,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cnsl,
716,CWCO,Consolidated Water Co. Ltd.,12.8,$190.74M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cwco,
717,CNAC,Constellation Alpha Capital Corp.,9.75,$180.67M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cnac,
719,CNACU,Constellation Alpha Capital Corp.,10.18,$188.64M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cnacu,
721,CPSS,"Consumer Portfolio Services, Inc.",4.495,$97.88M,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cpss,
722,CFRX,ContraFect Corporation,1.0201,$75.14M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cfrx,
723,CTRV,ContraVir Pharmaceuticals Inc,0.3775,$29.55M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctrv,
724,CTRL,Control4 Corporation,30.91,$780.99M,2013,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/ctrl,
725,CPRT,"Copart, Inc.",43.29,$10.01B,1994,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cprt,
726,CRBP,"Corbus Pharmaceuticals Holdings, Inc.",7.25,$402.89M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crbp,
727,CORT,Corcept Therapeutics Incorporated,17.62,$2.01B,1982,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cort,
728,CORE,"Core-Mark Holding Company, Inc.",31.25,$1.44B,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/core,
729,CORI,"Corium International, Inc.",9.93,$357.53M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cori,
730,CSOD,"Cornerstone OnDemand, Inc.",35.09,$2.03B,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/csod,
731,CRVL,CorVel Corp.,53.55,$1.01B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/crvl,
732,CRVS,"Corvus Pharmaceuticals, Inc.",10.37,$218.2M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crvs,
733,CSGP,"CoStar Group, Inc.",294.07,$10.63B,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/csgp,
734,COST,Costco Wholesale Corporation,186.3,$81.81B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cost,
735,CPAH,CounterPath Corporation,3.22,$17.7M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cpah,
