,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
1620,RING,iShares MSCI Global Gold Miners ETF,18.7,$351.56M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ring,
1621,MPCT,iShares MSCI Global Impact ETF,59.02,$26.56M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mpct,
1622,ENZL,iShares MSCI New Zealand Capped ETF,47.34,$153.86M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/enzl,
1623,QAT,iShares MSCI Qatar Capped ETF,16.06,$56.21M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/qat,
1624,TUR,iShares MSCI Turkey ETF,42.1,$372.59M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tur,
1625,UAE,iShares MSCI UAE Capped ETF,16.51,$42.1M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/uae,
1626,ESGU,iShares MSCI USA ESG Optimized ETF,58.28,$20.4M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/esgu,
1627,IBB,iShares Nasdaq Biotechnology Index Fund,107.59,$10.18B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibb,
1628,SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,171.09,$1.48B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/soxx,
1629,AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,27.24,$9.53M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amca,
1630,EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,32.62,$44.04M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emif,
1631,ICLN,iShares S&P Global Clean Energy Index Fund,9.225,$139.3M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/icln,
1632,WOOD,iShares S&P Global Timber & Forestry Index Fund,70.7,$377.54M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wood,
1633,INDY,iShares S&P India Nifty 50 Index Fund,36.91,$1.21B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/indy,
1634,IJT,iShares S&P Small-Cap 600 Growth ETF,170.73,$4.99B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ijt,
1635,DVY,iShares Select Dividend ETF,98.48,$17.86B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dvy,
1636,SHV,iShares Short Treasury Bond ETF,110.2,$7.88B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/shv,
1637,CRED,iShares U.S. Credit Bond ETF,112.04,$1.53B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cred,
1638,PFF,iShares U.S. Preferred Stock ETF,38.13,$17.8B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pff,
1639,ISRL,"Isramco, Inc.",108.2743,$294.26M,1983,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/isrl,
1640,ITI,"Iteris, Inc.",7.1,$232.79M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/iti,
1641,ITRI,"Itron, Inc.",68.05,$2.64B,1993,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/itri,
1642,ITRN,Ituran Location and Control Ltd.,34.45,$808.73M,2005,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/itrn,
1643,ITUS,ITUS Corporation,2.5275,$41.97M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/itus,
1647,IXYS,IXYS Corporation,23.9,$783.18M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ixys,
1648,IZEA,IZEA Inc.,4.55,$26.05M,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/izea,
1649,JJSF,J & J Snack Foods Corp.,150.7,$2.81B,1986,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/jjsf,
1650,MAYS,"J. W. Mays, Inc.",37,$74.58M,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/mays,
1651,JBHT,"J.B. Hunt Transport Services, Inc.",115.47,$12.67B,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/jbht,
1652,JCOM,"j2 Global, Inc.",74.4,$3.6B,1999,Technology,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcom,
1653,JASO,"JA Solar Holdings, Co., Ltd.",7.45,$354.51M,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/jaso,
1654,JKHY,"Jack Henry & Associates, Inc.",116.92,$9.03B,1985,Technology,EDP Services,http://www.nasdaq.com/symbol/jkhy,
1655,JACK,Jack In The Box Inc.,99.05,$2.92B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jack,
1656,JXSB,Jacksonville Bancorp Inc.,31.65,$57.38M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/jxsb,
1657,JAGX,"Jaguar Health, Inc.",0.1297,$11.78M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jagx,
1658,JAKK,"JAKKS Pacific, Inc.",2.35,$63.42M,1996,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/jakk,
1659,JMBA,"Jamba, Inc.",8.09,$124.02M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jmba,
1660,JRVR,"James River Group Holdings, Ltd.",39.8,$1.18B,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/jrvr,
1662,JSML,Janus Henderson Small Cap Growth Alpha ETF,36.71,$7.42M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jsml,
1663,JSMD,Janus Henderson Small/Mid Cap Growth Alpha ETF,38.88,$13.69M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jsmd,
1664,JASN,"Jason Industries, Inc.",2.35,$61.02M,2013,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/jasn,
1666,JAZZ,Jazz Pharmaceuticals plc,135.03,$8.1B,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jazz,
1667,JD,"JD.com, Inc.",42.29,$60.22B,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/jd,
1668,JSYN,Jensyn Acquistion Corp.,10.15,$52.47M,2016,Finance,Business Services,http://www.nasdaq.com/symbol/jsyn,
1672,JBLU,JetBlue Airways Corporation,22.5,$7.21B,2002,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/jblu,
1673,JTPY,JetPay Corporation,2.75,$43.1M,2011,Finance,Business Services,http://www.nasdaq.com/symbol/jtpy,
1674,JCTCF,Jewett-Cameron Trading Company,14.95,$33.41M,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/jctcf,
1675,WYIG,JM Global Holding Company,9.93,$55.6M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/wyig,
1676,WYIGU,JM Global Holding Company,10.16,$56.89M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/wyigu,
1678,JMU,JMU Limited,0.9936,$81.46M,2015,Technology,EDP Services,http://www.nasdaq.com/symbol/jmu,
1679,JBSS,"John B. Sanfilippo & Son, Inc.",63.47,$717.05M,1991,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/jbss,
1680,JOUT,Johnson Outdoors Inc.,64.23,$642.25M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/jout,
1681,JNCE,"Jounce Therapeutics, Inc.",13.29,$428.55M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/jnce,
1682,JNP,"Juniper Pharmaceuticals, Inc.",4.65,$50.43M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jnp,
1683,JUNO,"Juno Therapeutics, Inc.",46.81,$5.34B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/juno,
1684,KTWO,"K2M Group Holdings, Inc.",18.06,$782.51M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ktwo,
1685,KALU,Kaiser Aluminum Corporation,106.22,$1.8B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/kalu,
1686,KALA,"Kala Pharmaceuticals, Inc.",19,$465.9M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kala,
1687,KALV,"KalVista Pharmaceuticals, Inc.",10.25,$110.54M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kalv,
1688,KMDA,Kamada Ltd.,4.6,$185.21M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kmda,
1689,KNDI,"Kandi Technologies Group, Inc.",6.95,$333.85M,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/kndi,
1690,KPTI,Karyopharm Therapeutics Inc.,9.67,$456.24M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kpti,
1691,KAAC,Kayne Anderson Acquisition Corp.,9.72,$458.45M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/kaac,
1694,KZIA,Kazia Therapeutics Limited,3.23,$15.6M,n/a,Capital Goods,Miscellaneous,http://www.nasdaq.com/symbol/kzia,
1695,KBLM,KBL Merger Corp. IV,9.71,$144.46M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/kblm,
1699,KBSF,KBS Fashion Group Limited,4.19,$7.42M,2013,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/kbsf,
1700,KCAP,"KCAP Financial, Inc.",3.43,$128.07M,2006,n/a,n/a,http://www.nasdaq.com/symbol/kcap,
1702,KRNY,Kearny Financial,14.7,$1.19B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/krny,
1703,KELYA,"Kelly Services, Inc.",27.67,$1.06B,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/kelya,
1704,KELYB,"Kelly Services, Inc.",28.5,$1.1B,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/kelyb,
1705,KMPH,"KemPharm, Inc.",3.95,$57.9M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kmph,
1706,KFFB,Kentucky First Federal Bancorp,8.95,$75.58M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/kffb,
1707,KERX,"Keryx Biopharmaceuticals, Inc.",4.55,$542.47M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kerx,
1708,KEQU,Kewaunee Scientific Corporation,28.75,$78.21M,n/a,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/kequ,
1709,KTEC,"Key Technology, Inc.",19.02,$123.23M,1993,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ktec,
1710,KTCC,Key Tronic Corporation,6.99,$75.21M,1983,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/ktcc,
1711,KFRC,"Kforce, Inc.",25.7,$680.21M,1995,Technology,Professional Services,http://www.nasdaq.com/symbol/kfrc,
1712,KE,"Kimball Electronics, Inc.",18.75,$503.23M,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/ke,
1713,KBAL,"Kimball International, Inc.",18.53,$694.46M,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/kbal,
1714,KIN,"Kindred Biosciences, Inc.",9.6,$270.32M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kin,
1715,KGJI,Kingold Jewelry Inc.,1.97,$130.24M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/kgji,
1716,KINS,"Kingstone Companies, Inc",19.25,$204.56M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kins,
1717,KONE,Kingtone Wirelessinfo Solution Holding Ltd,4.38,$6.15M,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/kone,
1718,KNSL,"Kinsale Capital Group, Inc.",45.04,$947.19M,2016,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/knsl,
1719,KIRK,"Kirkland&#39;s, Inc.",12.51,$200.09M,2002,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/kirk,
1720,KTOV,Kitov Pharmaceuticals Holdings Ltd.,2.25,$25.22M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ktov,
1722,KLAC,KLA-Tencor Corporation,107.28,$16.81B,1980,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/klac,
1723,KLXI,KLX Inc.,68.97,$3.47B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/klxi,
1724,KONA,"Kona Grill, Inc.",1.85,$18.69M,2005,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/kona,
1725,KOPN,Kopin Corporation,3.24,$244.09M,1992,Technology,Semiconductors,http://www.nasdaq.com/symbol/kopn,
1726,KRNT,Kornit Digital Ltd.,16.4,$553.25M,2015,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/krnt,
1727,KOSS,Koss Corporation,1.483,$10.95M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/koss,
1728,KWEB,KraneShares Trust KraneShares CSI China Internet ETF,58.78,$199.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kweb,
1729,KTOS,"Kratos Defense & Security Solutions, Inc.",10.66,$1.1B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ktos,
1730,KRYS,"Krystal Biotech, Inc.",8.95,$91.62M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/krys,
1731,KLIC,"Kulicke and Soffa Industries, Inc.",24.04,$1.7B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/klic,
1732,KURA,"Kura Oncology, Inc.",16,$483.45M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kura,
1733,KVHI,"KVH Industries, Inc.",10.35,$177.09M,1996,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/kvhi,
1734,FSTR,L.B. Foster Company,26,$268.85M,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/fstr,
1735,LJPC,La Jolla Pharmaceutical Company,32.47,$719.06M,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ljpc,
1736,LSBK,"Lake Shore Bancorp, Inc.",16.73,$102.02M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/lsbk,
1737,LBAI,"Lakeland Bancorp, Inc.",19.65,$930.48M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lbai,
1738,LKFN,Lakeland Financial Corporation,49.14,$1.24B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lkfn,
1739,LAKE,"Lakeland Industries, Inc.",14.55,$118.09M,1986,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/lake,
1740,LRCX,Lam Research Corporation,185.37,$30.02B,1984,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lrcx,
1741,LAMR,Lamar Advertising Company,74.39,$7.32B,1996,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lamr,
1742,LANC,Lancaster Colony Corporation,129.46,$3.55B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/lanc,
1743,LCA,"Landcadia Holdings, Inc.",9.95,$310.94M,2016,Finance,Business Services,http://www.nasdaq.com/symbol/lca,
1746,LNDC,Landec Corporation,12,$330.08M,1996,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/lndc,
1747,LARK,Landmark Bancorp Inc.,28.75,$116.94M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lark,
1748,LMRK,Landmark Infrastructure Partners LP,18.1,$414.85M,2014,Consumer Services,Real Estate,http://www.nasdaq.com/symbol/lmrk,
1751,LE,"Lands&#39; End, Inc.",19.55,$627.51M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/le,
1752,LSTR,"Landstar System, Inc.",106.05,$4.45B,1993,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/lstr,
1753,LNTH,"Lantheus Holdings, Inc.",22.15,$830.76M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/lnth,
1754,LTRX,"Lantronix, Inc.",2.035,$36.58M,2000,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ltrx,
1755,RNLC,Large Cap US Equity Select ETF,21.76,$15.23M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rnlc,
1756,LSCC,Lattice Semiconductor Corporation,5.77,$711.82M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/lscc,
